"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: type","Param: zeroPercentage"
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000884",NaN,"#",4096,FLAT_UNROLLED,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"1192,000000",NaN,"#",4096,FLAT_UNROLLED,10
"project.Benchmarking.multiply","avgt",1,3,"17,210496","1,794226","s/op",4096,FLAT_UNROLLED,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"2,994488",NaN,"#",4096,FLAT_UNROLLED,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"1192,000000",NaN,"#",4096,FLAT_UNROLLED,50
"project.Benchmarking.multiply","avgt",1,3,"16,971435","0,451892","s/op",4096,FLAT_UNROLLED,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000929",NaN,"#",4096,FLAT_UNROLLED,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"1193,000000",NaN,"#",4096,FLAT_UNROLLED,90
"project.Benchmarking.multiply","avgt",1,3,"17,615101","0,347536","s/op",4096,STRASSEN,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000895",NaN,"#",4096,STRASSEN,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"2351,000000",NaN,"#",4096,STRASSEN,10
"project.Benchmarking.multiply","avgt",1,3,"17,755877","2,952681","s/op",4096,STRASSEN,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"2,998185",NaN,"#",4096,STRASSEN,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"2351,000000",NaN,"#",4096,STRASSEN,50
"project.Benchmarking.multiply","avgt",1,3,"17,702778","0,433752","s/op",4096,STRASSEN,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000486",NaN,"#",4096,STRASSEN,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"2343,000000",NaN,"#",4096,STRASSEN,90
